Labels;RuSL_BOLD062A2_REP2;RuSL_BOLD062_B2_rep2;RuSL_BOLD062_C2_REP;RuSL_BOLD062_D2_REP2
499;9,48E+02;1,76E+03;2,38E+03;3,11E+03
500;9,11E+02;1,71E+03;2,35E+03;3,01E+03
501;9,00E+02;1,69E+03;2,28E+03;2,97E+03
502;9,00E+02;1,67E+03;2,22E+03;2,93E+03
503;8,70E+02;1,64E+03;2,20E+03;2,88E+03
504;8,69E+02;1,60E+03;2,14E+03;2,80E+03
505;8,62E+02;1,57E+03;2,10E+03;2,72E+03
506;8,43E+02;1,54E+03;2,06E+03;2,70E+03
507;8,16E+02;1,52E+03;2,01E+03;2,67E+03
508;8,44E+02;1,50E+03;2,00E+03;2,59E+03
509;7,96E+02;1,46E+03;1,91E+03;2,50E+03
510;8,16E+02;1,43E+03;1,93E+03;2,49E+03
511;8,10E+02;1,41E+03;1,87E+03;2,43E+03
512;8,06E+02;1,39E+03;1,88E+03;2,43E+03
513;7,79E+02;1,35E+03;1,77E+03;2,33E+03
514;7,96E+02;1,37E+03;1,72E+03;2,30E+03
515;7,75E+02;1,32E+03;1,69E+03;2,24E+03
516;7,54E+02;1,28E+03;1,67E+03;2,20E+03
517;7,19E+02;1,29E+03;1,61E+03;2,16E+03
518;7,43E+02;1,21E+03;1,57E+03;2,13E+03
519;6,76E+02;1,18E+03;1,54E+03;2,12E+03
520;7,18E+02;1,19E+03;1,51E+03;2,08E+03
521;7,04E+02;1,13E+03;1,47E+03;2,02E+03
522;7,33E+02;1,13E+03;1,47E+03;2,02E+03
523;6,69E+02;1,13E+03;1,43E+03;1,96E+03
524;6,97E+02;1,11E+03;1,42E+03;1,89E+03
525;6,79E+02;1,06E+03;1,41E+03;1,89E+03
526;6,65E+02;1,02E+03;1,35E+03;1,84E+03
527;6,65E+02;1,02E+03;1,36E+03;1,84E+03
528;6,75E+02;9,96E+02;1,31E+03;1,80E+03
529;6,59E+02;1,00E+03;1,26E+03;1,80E+03
530;6,41E+02;9,90E+02;1,26E+03;1,72E+03
531;6,39E+02;9,41E+02;1,25E+03;1,69E+03
532;6,17E+02;9,44E+02;1,18E+03;1,73E+03
533;6,61E+02;9,27E+02;1,23E+03;1,67E+03
534;6,35E+02;8,79E+02;1,18E+03;1,64E+03
535;6,12E+02;8,86E+02;1,14E+03;1,59E+03
536;6,51E+02;8,86E+02;1,12E+03;1,56E+03
537;6,30E+02;8,84E+02;1,09E+03;1,55E+03
538;6,35E+02;8,58E+02;1,08E+03;1,51E+03
539;6,17E+02;8,43E+02;1,07E+03;1,49E+03
540;6,47E+02;8,43E+02;1,03E+03;1,50E+03
541;6,11E+02;8,30E+02;1,04E+03;1,51E+03
542;6,17E+02;8,42E+02;1,08E+03;1,46E+03
543;6,25E+02;8,09E+02;1,00E+03;1,47E+03
544;6,71E+02;8,48E+02;1,04E+03;1,39E+03
545;6,69E+02;7,96E+02;9,97E+02;1,40E+03
546;6,87E+02;8,31E+02;1,00E+03;1,33E+03
547;6,34E+02;7,76E+02;9,70E+02;1,36E+03
548;6,56E+02;7,57E+02;9,79E+02;1,30E+03
549;6,85E+02;8,00E+02;9,32E+02;1,27E+03
550;6,87E+02;7,48E+02;9,19E+02;1,26E+03
551;7,25E+02;7,67E+02;9,21E+02;1,21E+03
552;7,11E+02;7,47E+02;8,86E+02;1,23E+03
553;7,42E+02;7,38E+02;8,98E+02;1,20E+03
554;7,57E+02;7,46E+02;8,57E+02;1,15E+03
555;7,73E+02;7,43E+02;8,56E+02;1,17E+03
556;8,13E+02;7,48E+02;8,50E+02;1,14E+03
557;8,82E+02;7,60E+02;8,52E+02;1,11E+03
