lnm;eM5;eM5Ba;;
404;19784,832;6019,686535;;
402;19240,52835;5926,553905;;
400;18767,0365;5878,851563;;
398;18338,56404;5848,364532;;
396;17961,83139;5830,502883;;
394;17606,08405;5832,184479;;
392;17214,76465;5826,426297;;
390;16796,21935;5830,349028;;
388;16316,22165;5857,552588;;
386;15839,84494;5931,856483;;
384;15390,67179;6077,049673;;
382;14984,59131;6281,956285;;
380;14665,69453;6582,143903;;
378;14387,98904;6942,310184;;
376;14132,53248;7368,578017;;
374;13918,39087;7856,394351;;
372;13701,58046;8436,775208;;
370;13487,71453;9082,469344;;
368;13305,42117;9804,039448;;
366;13160,26449;10600,96622;;
364;13051,79596;11465,26635;;
362;13010,29176;12381,7496;;
360;13028,80347;13314,78208;;
358;13044,51376;14179,64697;;
356;13070,37324;15025,37429;;
354;13035,18116;15773,49454;;
352;12982,94514;16541,23217;;
350;12936,76198;17327,11494;;
348;12845,15858;18128,44425;;
346;12762,48097;18967,9563;;
344;12744,21364;19900,76602;;
342;12704,22786;20807,98149;;
340;12693,16971;21728,88219;;
338;12725,70789;22674,5382;;
336;12774,90556;23645,30116;;
334;12903,05704;24687,77746;;
332;13059,86792;25772,40765;;
330;13241,91839;26850,34871;;
328;13418,49118;27919,12854;;
326;13574,32306;28879,58586;;
324;13671,95696;29713,42504;;
322;13780,74437;30411,2196;;
320;13894,6265;30935,23383;;
318;14161,65978;31339,38909;;
316;14577,51095;31588,3249;;
314;15223,34218;31719,66672;;
312;16116,18996;31727,28121;;
310;17345,08872;31705,8146;;
308;19013,43465;31760,89823;;
306;21196,00922;31974,0057;;
304;24133,79252;32629,7164;;
302;27939,85009;33903,33652;;
300;32810,19926;36101,76444;;
298;38768,664;39403,16439;;
296;45778,36096;43836,537;;
294;53440,62448;49215,39426;;
292;60865,81945;54722,20182;;
290;66503,34597;59004,21739;;
288;69117,48648;60895,16282;;
286;68317,7352;60047,96028;;
284;64917,1412;57229,59638;;
282;59940,92822;53419,08932;;
280;53825,55723;49011,95765;;
278;46848,94383;44058,17389;;
276;39630,84817;38763,46946;;
274;32914,38818;33598,65248;;
272;27215,35563;29030,99656;;
270;22691,83844;25277,21524;;
268;19186,73366;22276,69358;;
266;16633,64321;20036,05962;;
264;15069,90045;18639,37825;;
262;14675,98975;18272,75902;;
260;15619,87847;19158,41997;;
258;17550,6562;21092,53705;;
256;19295,27521;22882,20078;;
254;19969,20258;23484,39097;;
252;20090,5025;23393,04686;;
