λ_nm;c_1E-5M;e_M_1_cm_1
429;0,010402101;1040,210109
428;0,010408438;1040,843781
427;0,010588876;1058,887597
426;0,010683288;1068,328787
425;0,010680422;1068,042219
424;0,010765461;1076,546125
423;0,010887011;1088,701095
422;0,010956374;1095,6374
421;0,011134489;1113,448944
420;0,011196774;1119,67735
419;0,011431539;1143,15385
418;0,011411182;1141,118165
417;0,011345333;1134,533342
416;0,011453571;1145,35708
415;0,011431406;1143,140625
414;0,011531292;1153,129153
413;0,011589804;1158,980373
412;0,011879529;1187,952887
411;0,012005915;1200,591493
410;0,012201129;1220,112853
409;0,012499121;1249,912102
408;0,012843044;1284,304354
407;0,01325857;1325,856987
406;0,013600931;1360,093057
405;0,014187573;1418,757252
404;0,014706506;1470,650639
403;0,01522413;1522,412989
402;0,015977405;1597,740501
401;0,01672852;1672,852039
400;0,017543435;1754,34351
399;0,018462941;1846,294105
398;0,019481879;1948,187873
397;0,020537216;2053,721622
396;0,021721706;2172,170579
395;0,022867111;2286,711149
394;0,024143763;2414,376289
393;0,025603002;2560,300194
392;0,02701694;2701,69396
391;0,028473997;2847,399749
390;0,030129801;3012,980148
389;0,031799298;3179,929778
388;0,033455607;3345,560655
387;0,035210915;3521,091491
386;0,036948204;3694,820404
385;0,038738258;3873,825818
384;0,040456813;4045,681283
383;0,04225006;4225,005955
382;0,044061005;4406,100512
381;0,045761243;4576,124251
380;0,047379348;4737,934843
379;0,049118072;4911,807179
378;0,050825547;5082,554743
377;0,052454609;5245,460942
376;0,054111939;5411,193892
375;0,055575665;5557,566509
374;0,05717909;5717,908964
373;0,058821239;5882,123858
372;0,060293812;6029,38123
371;0,061724335;6172,433496
370;0,063303404;6330,340356
369;0,064780407;6478,040665
368;0,066181071;6618,10711
367;0,067652322;6765,232235
366;0,069021992;6902,199239
365;0,070361577;7036,157697
364;0,071613006;7161,300629
363;0,072894074;7289,407402
362;0,073981628;7398,162782
361;0,074943058;7494,305819
360;0,075772502;7577,250153
359;0,076649606;7664,960623
358;0,077326864;7732,6864
357;0,077981979;7798,197865
356;0,078522749;7852,274925
355;0,07914681;7914,680988
354;0,079580791;7958,079129
353;0,079914875;7991,487533
352;0,080371708;8037,170768
351;0,080852807;8085,280657
350;0,081355892;8135,589212
349;0,081327483;8132,748306
348;0,08237236;8237,235993
347;0,083004706;8300,470561
346;0,083462164;8346,216381
345;0,084399939;8439,993858
344;0,085329637;8532,963693
343;0,086111054;8611,105382
342;0,087476082;8747,608215
341;0,088642374;8864,237368
340;0,09024851;9024,851024
339;0,092227012;9222,701192
338;0,094488405;9448,840469
337;0,097032882;9703,288227
336;0,099927053;9992,705286
335;0,103449911;10344,99109
334;0,107502408;10750,24083
333;0,112542562;11254,25622
332;0,117896244;11789,62439
331;0,123707794;12370,77937
330;0,129973322;12997,33222
329;0,136703908;13670,39084
328;0,143577173;14357,71734
327;0,150468513;15046,85134
326;0,157228947;15722,89467
325;0,16378817;16378,81696
324;0,169758856;16975,88563
323;0,175593317;17559,33166
322;0,181112275;18111,22745
321;0,186205953;18620,59534
320;0,19114846;19114,84599
319;0,196138114;19613,81137
318;0,201112822;20111,28217
317;0,205816403;20581,6403
316;0,210213006;21021,30055
315;0,214164913;21416,49127
314;0,217939779;21793,97792
313;0,220664382;22066,4382
312;0,223254025;22325,4025
311;0,22469753;22469,75303
310;0,226143897;22614,38966
309;0,226876557;22687,65569
308;0,227432609;22743,26086
307;0,227951095;22795,10945
306;0,228339195;22833,91953
305;0,228523418;22852,34183
304;0,22911787;22911,78703
303;0,229524747;22952,47465
302;0,230241776;23024,17755
301;0,230682641;23068,26413
300;0,231562451;23156,24505
299;0,232440203;23244,02034
298;0,23371391;23371,391
297;0,235382408;23538,24079
296;0,237307534;23730,75336
295;0,239817947;23981,79471
294;0,242577747;24257,77465
293;0,245785743;24578,5743
292;0,249657095;24965,70945
291;0,253923893;25392,3893
290;0,258634567;25863,45673
289;0,263460249;26346,02487
288;0,268675149;26867,51485
287;0,274373293;27437,32929
286;0,280049384;28004,93836
285;0,285940379;28594,03789
284;0,292056471;29205,64711
283;0,298409045;29840,90447
282;0,304759979;30475,99792
281;0,311556786;31155,67863
280;0,318173915;31817,39151
279;0,324905336;32490,53359
278;0,331896484;33189,64839
277;0,338689357;33868,9357
276;0,345590562;34559,05616
275;0,352377534;35237,75339
274;0,359061867;35906,1867
273;0,366006315;36600,63148
272;0,372938335;37293,83349
271;0,379896194;37989,61937
270;0,386771023;38677,10233
269;0,39335528;39335,52802
268;0,400079459;40007,9459
267;0,405740529;40574,05293
266;0,411043197;41104,31969
265;0,415726572;41572,65723
264;0,419751585;41975,15845
263;0,423073471;42307,34706
262;0,425834328;42583,43279
261;0,428414166;42841,4166
260;0,430635512;43063,55119
259;0,433186472;43318,64715
258;0,435915232;43591,52317
257;0,438839823;43883,9823
256;0,441918045;44191,80453
255;0,44505018;44505,018
254;0,448101521;44810,15205
253;0,451146692;45114,6692
252;0,453763455;45376,34552
251;0,456150234;45615,02337
250;0,457991958;45799,19577
249;0,459268093;45926,80931
248;0,460012019;46001,20187
247;0,459892213;45989,22133
246;0,458989739;45898,97394
245;0,45716545;45716,54499
244;0,454265267;45426,52667
243;0,450030953;45003,09527
242;0,444943309;44494,33088
241;0,439090282;43909,02817
240;0,432449997;43244,99965
239;0,425471008;42547,10078
238;0,418493778;41849,37775
237;0,411625505;41162,55045
236;0,404834867;40483,48665
235;0,398249507;39824,9507
234;0,392268062;39226,80616
233;0,386613846;38661,38458
232;0,381692618;38169,26181
231;0,377684385;37768,43846
230;0,374647021;37464,70213
229;0,372866541;37286,65411
228;0,372113109;37211,31086
227;0,372212648;37221,26484
226;0,373517722;37351,77219
225;0,375464439;37546,44394
224;0,378542572;37854,25723
223;0,382443994;38244,39943
222;0,387185425;38718,54246
221;0,392901063;39290,1063
