lnm;e375;e375Ar;e375Ba;e375ArBa
610;3,84E+04;7,06E+04;1,22E+05;4,61E+05
612;3,73E+04;7,03E+04;1,23E+05;4,64E+05
614;3,64E+04;6,91E+04;1,24E+05;4,65E+05
616;3,54E+04;6,67E+04;1,25E+05;4,70E+05
618;3,47E+04;6,70E+04;1,22E+05;4,69E+05
620;3,33E+04;6,54E+04;1,22E+05;4,71E+05
622;3,20E+04;6,43E+04;1,20E+05;4,71E+05
624;3,12E+04;6,35E+04;1,20E+05;4,70E+05
626;3,12E+04;6,24E+04;1,21E+05;4,70E+05
628;3,01E+04;6,23E+04;1,20E+05;4,69E+05
630;2,95E+04;6,17E+04;1,19E+05;4,67E+05
632;2,87E+04;5,99E+04;1,21E+05;4,65E+05
634;2,79E+04;5,91E+04;1,21E+05;4,63E+05
636;2,70E+04;5,95E+04;1,20E+05;4,63E+05
638;2,63E+04;5,81E+04;1,19E+05;4,59E+05
640;2,55E+04;5,73E+04;1,18E+05;4,54E+05
642;2,53E+04;5,68E+04;1,17E+05;4,52E+05
644;2,40E+04;5,54E+04;1,15E+05;4,49E+05
646;2,33E+04;5,47E+04;1,15E+05;4,40E+05
648;2,29E+04;5,42E+04;1,12E+05;4,38E+05
650;2,23E+04;5,33E+04;1,10E+05;4,33E+05
652;2,24E+04;5,18E+04;1,08E+05;4,26E+05
654;2,15E+04;5,16E+04;1,06E+05;4,20E+05
656;2,10E+04;5,15E+04;1,05E+05;4,15E+05
658;2,05E+04;4,99E+04;1,03E+05;4,09E+05
660;1,98E+04;4,90E+04;1,01E+05;4,03E+05
662;1,94E+04;4,92E+04;9,77E+04;3,97E+05
664;1,96E+04;4,78E+04;9,69E+04;3,91E+05
666;1,83E+04;4,64E+04;9,53E+04;3,84E+05
668;1,80E+04;4,74E+04;9,36E+04;3,81E+05
670;1,74E+04;4,53E+04;9,25E+04;3,73E+05
672;1,74E+04;4,49E+04;9,19E+04;3,66E+05
674;1,72E+04;4,47E+04;8,81E+04;3,56E+05
676;1,59E+04;4,41E+04;8,69E+04;3,51E+05
678;1,58E+04;4,23E+04;8,43E+04;3,43E+05
680;1,54E+04;4,11E+04;8,32E+04;3,35E+05
682;1,47E+04;4,13E+04;8,05E+04;3,29E+05
684;1,51E+04;4,04E+04;8,02E+04;3,22E+05
686;1,44E+04;3,89E+04;7,87E+04;3,14E+05
688;1,41E+04;3,90E+04;7,60E+04;3,08E+05
690;1,39E+04;3,87E+04;7,66E+04;3,02E+05
692;1,34E+04;3,73E+04;7,31E+04;2,95E+05
694;1,29E+04;3,63E+04;7,17E+04;2,86E+05
696;1,29E+04;3,66E+04;7,09E+04;2,80E+05
698;1,21E+04;3,53E+04;6,87E+04;2,74E+05
700;1,20E+04;3,46E+04;6,80E+04;2,69E+05
702;1,17E+04;3,44E+04;6,63E+04;2,65E+05
704;1,11E+04;3,29E+04;6,37E+04;2,59E+05
706;1,11E+04;3,37E+04;6,33E+04;2,52E+05
708;1,07E+04;3,24E+04;6,13E+04;2,47E+05
710;1,07E+04;3,27E+04;5,97E+04;2,42E+05
712;9,99E+03;3,15E+04;5,73E+04;2,37E+05
714;1,01E+04;3,00E+04;5,78E+04;2,30E+05
716;9,69E+03;3,05E+04;5,53E+04;2,25E+05
718;9,67E+03;2,81E+04;5,55E+04;2,20E+05
720;9,43E+03;2,93E+04;5,35E+04;2,15E+05
722;9,32E+03;2,89E+04;5,18E+04;2,08E+05
724;8,66E+03;2,82E+04;5,00E+04;2,02E+05
726;8,66E+03;2,69E+04;4,91E+04;1,99E+05
728;8,21E+03;2,63E+04;4,78E+04;1,93E+05
730;7,90E+03;2,55E+04;4,60E+04;1,86E+05
